AEROLINEA_COMPLETA,ORIGEN_COMPLETO,DESTINO_COMPLETO
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,RSW - Southwest Florida International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,SAN - San Diego International Airport (Lindbergh Field)
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,SAT - San Antonio International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,SDF - Louisville International Airport (Standiford Field)
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,SEA - Seattle-Tacoma International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,SFO - San Francisco International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,SJC - Norman Y. Mineta San José International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,SJU - Luis Muñoz Marín International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,SLC - Salt Lake City International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,SMF - Sacramento International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,SNA - John Wayne Airport (Orange County Airport)
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,STL - St. Louis International Airport at Lambert Field
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,TPA - Tampa International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,TUL - Tulsa International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,TUS - Tucson International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,XNA - Northwest Arkansas Regional Airport
AA - American Airlines Inc.,DSM - Des Moines International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,DSM - Des Moines International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,DTW - Detroit Metropolitan Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,DTW - Detroit Metropolitan Airport,DCA - Ronald Reagan Washington National Airport
AA - American Airlines Inc.,DTW - Detroit Metropolitan Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,DTW - Detroit Metropolitan Airport,MIA - Miami International Airport
AA - American Airlines Inc.,DTW - Detroit Metropolitan Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,DTW - Detroit Metropolitan Airport,PHL - Philadelphia International Airport
AA - American Airlines Inc.,DTW - Detroit Metropolitan Airport,PHX - Phoenix Sky Harbor International Airport
